epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.0076,2.15828,1.54087,1.89348,0.40817,0.30457,0.39773,0.1787,1.07752,2.41171,1.11663,9.9115e-05,9.9115e-05,0.0505416
2,131.734,1.92878,1.21189,1.73448,0.52997,0.41624,0.4618,0.1636,1.09426,6.38249,1.11983,0.000198823,0.000198823,0.000641301
3,203.702,1.80247,1.10589,1.64215,0.62122,0.39594,0.49292,0.19247,1.10128,2.56589,1.11129,0.00019883,0.00019883,0.00019883
4,271.491,1.73734,1.0641,1.60433,0.48231,0.35025,0.40955,0.1472,1.17546,1.5984,1.17055,0.000197375,0.000197375,0.000197375
5,338.954,1.66569,1.03298,1.57111,0.39924,0.33503,0.33662,0.13471,1.14086,1.83495,1.13034,0.00019535,0.00019535,0.00019535
6,402.791,1.62262,0.98864,1.53776,0.56523,0.29038,0.37451,0.17411,1.11372,1.37835,1.13514,0.000192769,0.000192769,0.000192769
7,469.078,1.57012,0.95866,1.53376,0.58301,0.43147,0.47284,0.20418,1.11097,1.19324,1.11176,0.000189646,0.000189646,0.000189646
8,535.773,1.53525,0.91529,1.47334,0.53957,0.34518,0.4355,0.17964,1.1442,1.41209,1.16968,0.000186001,0.000186001,0.000186001
9,600.251,1.5072,0.91311,1.459,0.462,0.48223,0.41555,0.16087,1.1675,1.25451,1.14519,0.000181857,0.000181857,0.000181857
10,664.531,1.48214,0.90201,1.42961,0.48551,0.46701,0.45609,0.17964,1.14124,1.32884,1.17931,0.000177239,0.000177239,0.000177239
11,728.6,1.47214,0.89272,1.45466,0.40823,0.45178,0.42392,0.19111,1.13504,1.8037,1.14306,0.000172175,0.000172175,0.000172175
12,793.122,1.44484,0.84405,1.43778,0.49652,0.26904,0.32375,0.1469,1.21956,1.53324,1.2149,0.000166698,0.000166698,0.000166698
13,857.765,1.44012,0.84584,1.42773,0.47475,0.32117,0.36341,0.15187,1.17849,1.55678,1.17907,0.00016084,0.00016084,0.00016084
14,921.581,1.3972,0.84637,1.41196,0.50257,0.50774,0.50052,0.18984,1.17592,1.4329,1.17309,0.000154637,0.000154637,0.000154637
15,985.796,1.35718,0.80409,1.38549,0.47753,0.4264,0.43615,0.1892,1.17272,1.32509,1.2156,0.000148129,0.000148129,0.000148129
16,1049.59,1.33685,0.78062,1.36747,0.42797,0.32487,0.34947,0.17044,1.19458,1.51346,1.24108,0.000141355,0.000141355,0.000141355
17,1115.21,1.33154,0.76569,1.36439,0.43159,0.37563,0.38226,0.1572,1.21744,1.15426,1.22995,0.000134357,0.000134357,0.000134357
